86,2046,0,72
98,1923,0,336
160,2084,0,196
281,1924,0,341
282,2008,0,91
304,2056,0,79
327,1960,0,222
333,1918,1,32
337,2036,1,65
350,2006,0,4
368,2057,0,20
372,1923,0,224
386,1947,1,304
407,2107,0,333
414,1904,0,15
420,2078,0,21
412,2051,1,355
414,2022,1,0
428,1937,0,184
433,1982,0,70
444,2039,0,28
463,2083,1,68
463,2054,1,53
496,1964,0,33
503,1910,0,26
504,2070,0,289
536,1987,0,47
546,2099,0,4
592,1980,1,311
594,1921,1,271
593,1950,1,55
622,2023,0,208
653,1947,0,338
698,1981,1,87
724,1997,0,333
764,1979,0,83
798,2072,0,173
803,1952,1,312
835,1917,0,73
841,1966,0,28
857,1985,1,37
892,1989,0,36
886,2026,1,31
929,2004,0,209
936,1908,1,52
1003,1906,0,20
1012,1989,0,201
1049,2038,0,7
1097,1985,0,1
1481,1942,0,25
130,2283,0,165
149,2289,1,71
333,2113,0,353
341,2174,0,176
344,2253,0,208
381,2245,1,54
390,2192,0,236
424,2252,0,9
452,2211,0,356
543,2168,0,335
538,2128,1,93
623,2157,0,22
641,2250,0,161
767,2292,0,252
806,2154,0,134
821,2204,0,180
75,2367,1,64
142,2337,0,188
2452,2519,0,58
555,167,0,151
885,232,0,7
2517,217,0,264
157,383,0,282
180,449,0,47
208,387,0,244
238,329,0,176
255,379,0,189
262,354,1,41
282,395,0,27
285,459,0,327
313,354,0,289
319,438,0,147
336,366,0,192
345,280,0,332
352,339,0,6
368,381,1,66
375,442,0,347
388,418,0,339
435,391,0,6
455,339,0,24
507,262,0,44
526,381,1,43
534,404,0,223
658,361,0,348
673,321,0,137
693,438,0,209
719,303,0,92
757,365,0,9
765,440,0,297
774,297,0,95
817,412,0,322
818,461,1,21
830,306,0,49
866,376,0,343
1104,432,0,49
1829,434,0,15
97,621,0,225
112,495,0,166
163,664,0,84
211,565,0,286
234,491,0,209
241,524,0,331
234,614,1,70
255,575,0,246
264,653,0,336
313,594,0,336
316,567,0,326
313,506,1,333
315,627,1,82
316,658,1,313
341,544,0,139
339,493,1,284
